,lang,trigger_words_strings
1997,ru,"['Наш источник в ОП рассказал, что Офис Президента пытается купировать через лоббистов инициативу Республиканцев с аудитом военной и финансовой помощи Украине', 'На Банковой понимают', 'Пока Запад помогает без контроля за распределением средств в Украине']"
1999,ru,"['Укроживотные', 'не жалея людей']"
2000,uk,"['Нардеп Євгеній Шевченко брав Москву, а ви не хочете його шанувати як героя…\nНапевно саме через постійну «участь у бойових діях» це опудало часто прогулює засідання ВР.']"
2001,ru,"['“Мы сюда вошли, чтобы показать что такое российская дисциплина”', 'рашисты высадили “педагогический десант”', 'путлерюгендов', 'в что-то наподобие концлагеря']"
2003,ru,"['Наш источник в ОП', 'они не готовы нам давать свою технику и финансирование, а если начнут гибнуть европейцы то это станет новым триггером для Европы', 'который может обвалить любую поддержку']"
2004,uk,"['ТРЦ Лавіна, зелені та сині, зупиняют']"
2005,ru,"['подвигу советского народа', 'Победа далась дорогой ценой — более миллиона погибших', 'Она стала началом изгнания немецко-фашистских захватчиков из нашей страны, открыла Красной армии путь на Берлин', 'Но, как показала история, уроки разгрома нацистской Германии под Сталинградом усвоили не все.\nМеркель, занимая должность канцлера, обманывала мировое сообщество и свой народ, помогала киевскому нацистскому режиму готовиться к войне.\nНынешний канцлер Шольц пошёл ещё дальше, приняв решение отправить немецкие танки воевать против России.\nИх участь окажется такой же, как 80 лет назад. «Леопарды» будут сожжены, повторив судьбу фашистских «Тигров».\nРуководству Германии правильно объясниться перед своими гражданами, зачем они снова втягивают немецкий народ в войну. И вспомнить далёкий, но памятный 1943 год.\nДорогие друзья, с Днем разгрома немецко-фашистских войск в Сталинградской битве!']"
2006,ru,"['в соответствии с планом', 'использования по предназначению']"
2007,ru,"['ажутся ли котловодцы ВСУ в Работинском котле?\nНацисты могут оказаться в котле в районе Работино в Запорожской области, ', 'Чтобы избежать негативного для себя сценария', 'Боевикам ВСУ пришло понимание, что они могут оказаться в котле', 'пытаются расширить ""горловину""', 'ВСУшники пытаются расширить горловину', ' пока безуспешно\n \nдля нацистов\n', 'ВСУ на Запорожском фронте сейчас проводят перегруппировку своих сил в условиях дефицита личного состава', 'ёт подвоз боевиков, зачастую мобилизованных из теробороны\n, - отметил он. - Зачастую э\nти люди не готовы вести боевые действия.\nПодразделения, которые находятся на этом участке, они не то что потрёпаны, они зачастую представляют собой 20-30% от личного состава, который изначально бросался к нам сюда для контрнаступа\n', 'мочь нашим защитникам \n- славным русским воинам в обеспечении необходимым на Запорожском фронте и в увеличении количества уничтоженной техники нацистов можно на карту ', 'Работаем, братья!']"
2009,ru,"['Кстати, еще в качестве ответной меры на террористический акт можно нанести удар по замку Пугачевой.']"
2013,ru,"['Киевчата, летят они всё-таки к вам, на город  надо врубить «паркинги» - «калидоры»  бойцы будут работать, как всегда']"
2014,uk,"['І ми розраховуємо на розуміння ситуації нашими партнерами, що зволікати не можна!', 'що завдання цивілізованого світу - зробити все, щоб Україна перемогла в війні, яку розвʼязала росія.', 'ще довго нависатиме над всією Європою']"
2015,uk,['Наш правдивий']
2016,uk,"['Андрій Веревській найбільший шахрай в історії фондового ринку України. Ще ніхто не крав мільйони стверджуючи, що 100 дорівнює 1. Коломойський та Ахметов у порівняні з ним поважні джентльмени з бездоганною репутацією. Його дії руйнують економіку Україну зсередини…']"
2018,ru,"['Кадры убийства боевиками ВСУ полицейского', 'боевики', 'боевики нападают на полицейских']"
2020,uk,"['Окупанти хочуть підірвати хім завод у Криму\nросіяни мінують завод ""Кримський Титан"" та готують провокації', 'Через вибух може постраждати']"
2022,ru,['За 3 часа во многих мировых СМИ ПРОШЁЛ ЗАГОЛОВОК « 40 младенцев обезглавлены боевиками ХАМАС» и опровержения ПОЧТИ НИКТО не давал']
2024,uk,"[""Не забудемо, не пробачимо, помстимося!\nСлава Героям! Вічна пам'ят""]"
2025,ru,"['Друзья, \nвот прекрасный пример, как вам навязывают мнение о слабой и немощной России. \n«Идите с ней воюйте. Она скоро развалится»', 'Тренд растет.\nВероятно, за последние 3 года \nв США были застрелены около 150’000 человек!\nВ России случился теракт', 'Но что это за война между американцами внутри США? \nВам этого по ТВ не расскажут. А если расскажут, то подумаете, что это российская пропаганда.\nА на самом деле настоящая пропаганда - это когда люди представляют США по фильму “Один дома”.\nИ не хотят разбираться в фактах.\nА вместо этого рушат судьбы своих стран. \nА потом - раз!\nИ американский опрос показывает, что 43% американцев ожидают гражданскую войну в США в ближайшие годы.\nПохоже на российскую пропаганду? \nНо если смотреть на цифры убийств в США - гражданская война уже идёт.']"
2027,ru,"['Мать обвинили в сексуальном насилии над сыном - она эмоционально отметила его победу в футбольном матче', 'общественности крайне не понравилось такое поведение женщины', 'Ей говорили, что она “хочет” подростка']"
2028,ru,"['Согласен. Володимир Олександрович - дуже чесний', 'Утаил лишь незначительные детали']"
2031,uk,"['між хаосом війни і мирним життям стоять наші воїни', 'Саме Україна зараз бореться за мирне життя для всього світу', 'воювати ми вміємо як ніхто інший', 'захист миру']"
2033,uk,"['Пам‘ятаєте\n запорізького \nХижака\n, який самотужки відбив штурм кацапні і попрацював за себе і того хлопця?\nВін передає привіт вам, черешеньк', 'Цибуля вже отримав догану, бо не був підписаний', 'Боже, який сором']"
2035,ru,"['МИГРАНТЫ ЗАПРЕТИЛИ ИСПОЛНЯТЬ ГИМН РОССИИ.', 'ЧТО ПОТОМ? \nПРИЕХАЛИ ПАРНИ ИЗ ""ВАГНЕРА""', 'Один персонаж', 'живёт там ""по кайфу', 'Правда, есть одно ""но""', 'В Евпатории эти ""братья"" запрещают местным жителям слушать гимн России и патриотические песни в караоке', 'нет, мы не шутим', 'Гуляли, видимо, местные диаспоры', 'В караоке-клуб приехали бойцы ЧВК ""Вагнер"". И вот уже им никто патриотические композиции ни слушать, ни петь не запрещал.\nА следом прибыли и силовики.\xa0Полторы тонны алкоголя без документов было в караоке, что и выяснилось при обыске. Незаконную продукцию, разумеется, изъяли.']"
2037,uk,"['who says', 'Це ж очевидний тролінг реакційний', 'а так то про не існує лівої пропаганди це повна хуйня', 'Ще й як існує. Просто приємно спостерігати, що це заочні дебати без насильства.', '>Ось так розібрав би, якби це було на серйозному, а не пародійний стьоб.', 'Сам формат вітаю, це тобі не єбала бити. Прирівнювання тих, хто з тобою не згоден до русні засуджую, хуйню зморозили люту та неадекватну, за що заслуговують на незгоду і дискредитацію інших, адекватних тез, що там пролунали.']"
2040,uk,"['Підтримуйте державу та отримуйте прибуток — купуйте нові військові облігації в Дії', 'Залізний Порт, Асканія-Нова, Джанкой, Керч — міста, відомі кожному українцю', 'Також скучили за ними? Допоможіть Силам оборони швидше їх повернути — купуйте нові військові облігації в Дії, щоб підтримати військових й економіку та отримати прибуток.', 'Окей, які умови?', 'те та інвестуйте в перемогу \n📲']"
2041,ru,"['Минувшей ночью российская армия \nуничтожила штурмовую группу ВСУ\n численностью до 20 человек в районе Работино Запорожской области.', 'врио губернатора региона Евгений Балицкий', 'за сутки украинская сторона потеряла 140 военнослужащих, трое разведчиков сдались в плен. Кроме того, ВС РФ уничтожили шесть танков, один пикап и четыре беспилотника.', 'ситуация на линии фронта на данном участке фронта остается напряженной', 'Интенсивность обстрелов как линии фронта, так и всей Запорожской области остается на прежнем высоком уровне']"
2042,ru,"['Эпичный подвиг воинов 25-го штурмового батальона 47-й механизированной бригады под Авдеевкой! Всего 2 украинских воина уничтожили российскую штурмовую группу из 9 бойцов.', ' штурмовиков прижали к земле огнём, они не смогли добежать каких-то 20 метров до окопа, который обороняло двое украинцев. Украинцы закидали россиян гранатами, а затем один из украинских героев вышел в полный рост из окопа и бесстрашно расстрелял всех штурмовиков.']"
2043,ru,"['🤡\nПорошенко признал, что Минские соглашения были нужны Украине для укрепления армии']"
2044,ru,"['Из-за непрекращающихся обстрелов вооружённых формирований Украины торжественное шествие Бессмертного полка по улицам городов Республики в этом году проводиться не будет', 'за нашу Родину', 'Мы помним подвиг великого', 'наших легендарных', 'спасших мир']"
2047,ru,"['Оптика, точно не хуже той, что у противника. А может даже и получше', 'не хуже американской точно']"
2050,uk,"[' каналі практично відсутні звичайні скопійовані новини з різних джерел, а суто військова тематика та авторські пости\nКравчук має звʼязки\n \nз декількох напрямків і подає інформацію якісно ']"
2051,uk,"['вже чіпляються', 'біля мусарні- підтверджую!Дуже багато зелених та синіх- ходять і направляють калаші прямо на людей!Є факт виписки повісток', 'мусарні', 'Остановили парня', 'салатік з 2х кабачків та баклажана мокне під дощем', 'когось зупинили', 'енти з військовими,роздають', 'роверили маршрутку,вывели одного', 'адресна гроза', 'Полным полно на м. Позняки!! На обоих входах в метро и вокруг метро. Полно', 'Когось вже зупинили', 'перевіряють документи', 'зупиняють пишуть']"
2052,uk,"[""Ворогу ніколи не здолати сильний і незламний український народ. Ми на своїй землі і захищаємо свою державу та свободу. А отже обов'язково Переможемо!""]"
2053,uk,"['🔥', '«Синиця» навіяла смутку у кремлі', 'Після спецоперації «Синиця» вище військово-політичне керівництво держави-агресора «засмучене».', 'значно активізувала свою роботу', 'це їм нічого не дасть']"
2054,ru,"['🏃\u200d♂️', 'на Украине', 'олько удачных побегов в день с Украины? Люди пытаются всеми возможными и невозможными способами покинуть этот чумной барак. Такими темпами скоро на Украине не останется трудоспособного мужского населения: к', ' повезет – сбегут, кому нет – будут могилизированы.\nУкраина це Эуропа? Ради такого светлого будущего, Тарасики, вы на «майдане» скакали?\n#з']"
2056,ru,"['Единственное нормальное решение, за все время )']"
2057,uk,"[""Захищати країну - це честь і обов'язок.\nСлава героям! Слава Україні""]"
2059,uk,['НЕЗЛАМНІ українці']
2062,uk,"['гостинні', 'національна гордість', 'приклад для наслідування для всього світу', 'цифровізуємо']"
2064,uk,"['істини карасизму послані на грішну Землю з котокосму досконалості', 'Сьогодні це ще безплатно. \nА вже післязавтра всіх підписників оголосять в розшук Басманним судом города Москвы.']"
2065,uk,"['Зеленський через переляк на початку війни віддав можливість займатись питаннями війни - військовим', ""Міжнародну складову майже просрали, і тому з'явився час і натхнення займатись війною."", 'Що настане знову час боятися Зе, але не факт, що знову знайдуться такі ресурси, і з війною Зе зробить, як з міжнародною політикою.', 'перемога - це спільні зусилля професіоналів', 'рояль нажаль в штаб не привезли']"
2066,ru,"['ГудбайАмерика', 'Позорище', 'К США семимильными шагами приближается ТУПОКРАТИЯ', 'Но, эта болезнь не только в США. Упрощение систем образования, либерализм, тикток мышление, отсутствие элементарных знаний, низкая культура общения характерна для большинства стран Евросоюза']"
2067,ru,"['псевдопрессе', 'ничего страшного в военкоматах нет\nЕсли вы туда пойдете, добрый военкомы если найдут у вас сахарный диабет - попросят сидеть дома и лечитьс', '😄']"
2068,ru,"['НЕОЖИДАННО', 'СМЕНА ПОВЕСТОЧКИ', 'Единством арабского мира не могли не воспользоваться хитрозадые политики Европы. Первый пошёл. Вернее, пошла', 'Круто, конечно. Ничего не скажешь.', 'если у кого-то возникли симпатии к этой министерше — то напрасно', 'Плевать она хотела на палестинцев, евреев и прочих аборигенов', 'Таким заявлением она просто работает на свой рейтинг, трезво рассчитав настроение электората, огромную часть которого в Испании составляют мусульмане. И, с учётом, что она не одна такая хитрая, призывы к суду над Нетаньяху будут звучать всё чаще и громче (тем более его в Европе и так не любили). Байден его тоже терпеть не может. Вообщем, процесс запущен. Покупаем попкорн!']"
2070,ru,"['ПЗДЦ', 'Тип ушатал подругу с одного удара', 'Судя по швабре, решали кто сегодня будет убираться.']"
2072,ru,"['на нашей героической земле', 'В этот важный, памятный, праздничный\xa0 для нас день', 'Главу ДНР', 'Мы помним о подвиге наших предков, и выполним заветы наших дедов. Мы не дадим врагу захватить нашу Родину, и выбьем оккупантов с нашей земли. Победа будет за нами!', 'Помним! Мы победим!']"
2073,uk,"['ДТЕК заробив МІЛЬЯРД на електроенергії за березень цього року', 'Ахметов купує на ринку цю \nелектроенергію\n по одній копійці за мегават на годину. Потім продає її споживачам за ринковою ціною', 'Це вже дає підказку', 'розповідаючи казки про ракети', 'У мене лише одне питання', 'Обікрали всю країну і далі продовжують це робити', 'Русский Корабль Иди… |']"
2074,ru,"['Болгары восхитились)) а платить придется)) кацапня воет, а я предупреждал )) Жрите, тот случай, когда когда за поддержку рахи придется платить со своих))']"
2075,uk,"['Дуже це все дивно', 'повищення обороноздатності', 'Знову чергове розкрадання бюджету', 'І де ж хвалена ""Прозорість та підзвітність""?']"
2077,ru,"['Родные СРОЧНЫЙ СБОР ДЛЯ ПОДРАЗДЕЛЕНИЙ В РАЙОНЕ ЧАСОВ ЯР\n‼️\nНАШИ БЬЮТ НАЦИСТОВ ИЗО ВСЕХ СИЛ.\nНУЖНА ПОМОЩЬ\n‼️\nУ КАЖДОГО ЕСТЬ ВОЗМОЖНОСТЬ СДЕЛАТЬ ДОБРОЕ ДЕЛ', 'КОТОРОЕ ВДВОЙНЕ ВЕРНЕТСЯ\n‼️\nВЕДЬ НЕТ НИЧЕГО ВАЖНЕЕ ЧЕМ ЖИЗНЬ!\n😄\n😁\n😁\n😄\n😄\n😄\n😄\n😁\n😄\n😄\n😄\n😄\n \n😄\n😄\n😄\n😄\n👍\n😄\nВиталий Владимир']"
2078,uk,['підари']
2079,ru,"['Киев вернём, семью туда перевезу', 'освобождения Киева']"
2081,uk,"['катастрофічно не вистачає', ' від призову', ' більше людей ставлять питання', 'носить безсистемний характер', ' від заклику', 'не знаючи, коли повернуся до нормального життя, важко', 'квиток в один кінець', 'Мало що може переконати Артема йти в армію', 'твердо каже мені триматися подалі від цього']"
2083,uk,"['новиє ліца', 'шукати новово лідєра, бо Порошенко вже нікогда, ніколи, never', 'збитий льотчік', 'Стільки крику ніби всі ці роки хтось їм заважає обрати нового спасітєля з цілого штабеля пропозицій, від Арєстовіча, Поворознюка, або прямо одразу Єрмака, до Притули, та і Вкарчкука не списуйте, вдруг получится з третього разу.\nТак що не стримуйте себе, і не соромтесь, на края ще раз хоть поржом.', 'Деякі навіть договорились до того, що ""не підтримують. ні Зеленського, ні Порошенка', 'хоча не підтримувати діючого під час війни це взагалі клініка', 'Чого ото аж так нервувати, не розумію, головне що Київ деокуповано.']"
2084,ru,"['это происходило силой', 'Если не можешь отбиться от сотрудников военкомата, им на помощь придут полицейские', 'ужесточили правила', 'довольно трудно', 'А беженцам, которые уехали в другие украинские регионы, и вовсе теперь невозможно вернуться домой']"
2087,uk,"['Довгий шлях пройшла Україна, аби повернути та відродити свою державність', 'огодні ми знову захищаємо своє право бути собою. Українцями. Незалежними. Вільними. Позад нас - століття боротьби. Попереду - вирішальна перемога. А ворог - той самий.', 'І наша сьогоднішня боротьба додає особливої значущості цьому дню', 'самовідданість Михайла Грушевського і Володимира Винниченка, століття боротьби нашого народу за право бути українцями', 'Для нас Конституція – це про права і свободи, це про гідність, цінності, хребет нації, стійкість та нескореність. Це про саме життя, про людину.', 'І поки росія хизується своєю «демократичністю», вона так і  залишається лише декларативною. З вічним царьком на чолі.  Коли наш сусід розповідає про «захист» чиїхось інтересів, в той же момент порушує усі можливі норми та закони.', 'І саме народ обирає шлях подальшого розвитку', 'Зараз ми, як ніколи, відчуваємо важливість прав та свобод, закріплених у Основному Законі держави. Ми знаємо, як нестерпно втрачати ці цінності. Бачимо, як їх намагаються знищити снаряди окупантів. Але жодна зброя не здатна зруйнувати наші ідеали та переконання. Попри все стоїмо', 'Йдемо вперед. Бо за нами - правда. Яка завжди перемагає.']"
2089,uk,"['А загальні втрати противника, забезпечені результативною роботою наших ракетно-артилерійських підрозділів', 'Це найважливіше та найдорожче для кожної людини, у будь-якому віці.', 'Це найпереконливішій доказ того, що життя триває і все в нас буде добре.', 'Миру та добра кожній вашій оселі!', 'Та про наші мирні перемоги.', 'Зберігаємо спокій, витримку, віримо у наші Збройні Сили та нашу неминучу Перемогу! \nСкучної вам ночі, дорогі земляки!']"
2090,ru,"['отмечено прибытие англоязычных граждан', 'Иностранцев привозят на ""гражданских автобусах с европейскими номерными знаками', 'Туристы, наверное.']"
2091,uk,"['шахрайський call-центр', 'Най*бщіки']"
2094,uk,['Люди які пишуть новітню історію України']
2096,ru,"['Танки даром', 'НАТО продолжает демилитаризацию в Украине']"
2097,uk,"['київський режим', 'Насправді ж, вона заявила наступне \n👇🏻\nЗа терактом у Бєлгороді стоїть росія, яка в координації з ФСБ підбурює бєлгородське пе ве о до терористичних дій.']"
2098,uk,"['ідіот?', 'у маскву', 'ні ногою', 'пупіна', '«путінськими маріонетками»', '«Південного потоку»', 'національною зрадою', 'висновки надто очевидні', 'пукін', 'територіальні плюшки', 'найвеселішим бараком газпрому']"
2100,uk,"['росія', 'кремль', 'росія', 'Слава Україні!']"
2101,ru,"['ЛГБТПандемия', 'Рейхстагом', 'ТОЛЬКО КАЖДЫЙ ДЕСЯТЫЙ ГРАЖДАНИН ФРГ', 'То есть, гордая немецкая нация, дважды  затеявшая мировые войны, СДАЛАСЬ на милость горстки геев, пид@ров, лесбияноки и разных разновидностей транс-человеков\n⁉️', 'Интересно, как себя чувствуют 90%(\n❗️\n) немецкого населения? Похоже, что четвёртый \nрейх доживает последние годы']"
2102,ru,"['УПЦ', 'проходите поскорее все инстанции в Украине', 'подавайте иск в ЕСПЧ', 'на голову натянул Зеленскому его беспредел']"
2103,ru,"['Лучшая жизнь, но недолгая', 'ненаши', '#переможная интоксикация']"
2104,uk,"['педофілу', 'опудало', ' на російські спецслужби']"
2105,ru,"['раздела Украины по Корейскому сценарию', 'уступку части территории РФ', 'сделки по прекращению войны', 'отказалась от территории', 'вопросы об уступке территории']"
2106,ru,"['советский режим затем свалит своё преступление,', 'Деды отступали..']"
2107,uk,"['купа міні-депутатів з лицем Трухіна', 'продажні журналісти']"
2108,uk,"['ДИВІТЬСЯ ДИВІТЬСЯ ДИВІТЬСЯ', 'спекотнішим']"
2109,uk,['Наші захисники –\xa0ТИТАНИ']
2110,ru,['Современные проблемы требуют современных решений\nВ Закарпатской области появляются случаи перевозки людей призывного возраста в багажниках транспортных средств']
2113,uk,"['«Ваша місія безперечно важлива та необхідна', 'стримати рашистів']"
2115,ru,"['Но есть нюанс', 'Активный участник геноцида в Мариуполе', 'Что дальше было с детьми Мариуполя вы знаете - их похитили, вывезли в РФ, теперь водят по концертам в Лужниках и заставляют благодарить убийц. И в этом есть заслуга Миронова.']"
2116,uk,"['Стабільно дуже високі', 'рашистської', 'бачив посилання на приватні розмови із слугами Зе, де вони повторюють рашистську агентурну тезу', 'явна робота агентури в середині зеленої влади', 'Зе хотів мати свій власний ""сталінград""', 'Бахму не був жодною фортецею й не мав укріплень для оборони. Зате укріплену Авдіївку дуже хочуть здати ворогу', 'Щось в Оманському кейсі декому притиснули?', 'новий слухняніший командувач', 'наш колись славетний ГУР? А там навпереміну з Даніловим про перспективу пиття кави на набережній Ялти просторікують']"
2117,ru,"['Атаки РФ по объектам энергетической инфраструктуры Украины создали все предпосылки для того, чтобы наша страна стала импортером электроэнергии', 'Вполне вероятно, что Польша будет поставлять энергию, а не получать ее с Украины, как это было заявлено ранее.', 'По факту же, вся энергосистема Украины трещит по швам. Значительная часть энергоперетоков между региональными сетями либо уничтожены, либо ""расшатаны"" ударами РФ.  Региональные потребители обеспечиваются, главным образом, за счет местной генерации. У кого ее нет, тем приходится туго, и получить электроэнергию от АЭС, на которые приходится более 50% украинской генерации становится все проблематичнее. Более того, существует угроза, что из энергосистемы один за другим начнут отваливаться целые регионы (не исключено, что это будут территории, где занимаются ремонтом военной техники, и по которым идут магистрали ""Укрзалізниці"" перевозящие западную военную помощь', 'Ну а Украине не останется ничего другого, как осваивать роль импортера электроэнергии — впервые за всю свою историю.']"
2120,ru,"['В США подтверждают заявление Украины', 'значительным возвратом инвестиций']"
2122,uk,"['вже друга група окупантів зі складу 71-го полку ЗС рф здалась у полон', 'По словам самих полонених, причинами цього є нелюдське ставлення командування рф та великі втрати у російських підрозділах', 'відправляють на штурм, з якого вони вже не повертаються']"
2123,uk,['Ми на один день ближче до Перемоги']
2125,uk,"['руснява влада', 'вагнерят', 'Пердьожиним? По якій статті та скільки років будут давати?']"
2126,uk,"['Три потужні угоди вже підписан', 'Ці документи надають безпрецедентні гарантії для України, включаючи військову допомогу, санкційний тиск на росію та підтримку України у фінансовій і гуманітарній сферах. Ми зможемо захистити нашу державу зараз і запобігти можливим загрозам у майбутньому.\nВдячні Президенту та всій його команді за важливі дипломатичні кроки']"
2128,uk,"['Спецпризначенці СБУ здійснюють прямі адресні доставки без затримок', '🔥\nОкупанти отримують свої замовлення просто «на ходу». А оператори ударних дронів з ЦСО «А» всіма силами скорочують час отримання посилок, щоб обробити якомога більше замовлень', '💀']"
2131,uk,"['Зараз у кожного свій фронт, і разом ми Переможемо! Віримо в Бога. Молимося за Запоріжжя.']"
2134,uk,"['Повідомляють, що ""маленький вінтік"" Ілля Ківа вмер', 'Ще одного зрадника знайшли мертвим десь під москвою.', 'расіянські поліцаї з\'ясовують причину та обставини смерті ""маленького вінтіка"".']"
2135,uk,"['Глобальні правила, глобальні домовленості, глобальна політична система під важким системним ударом', 'конфліктні хвороби', 'вбивала громадян', 'терористичні мережі', 'Глобальний руйнівний квест', 'локальні війни/конфлікти/ескалації реально перетворять світ на один великий осередок смертей і руйнувань…', 'жорстких рішень', 'пошуку традиційних брехливих компромісів…']"
2136,uk,"['Кожен, хто став сьогодні в стрій Сил ТрО ЗСУ, пови- нен розуміти свою найважливішу місію — зупинити та перемогти росіян']"
2137,ru,['9 мая 2010 год.\nВсего 13 лет назад.\nА у многих участников того парада Победы мозги в кисель за это время превратились']
2138,ru,"['бывший чиновник судя по всему никуда не торопится', 'Видимо, Коболев и его жена ещё не собрали нужную сумму через донаты, на которые очень надеялись.']"
2140,uk,"['в \nКиєві\n туса', 'Де поліція? Де Кличко? Що за п*здець відбувається в цьому місті']"
2142,uk,['догоджає рашистам']
2143,uk,"['Ціни на електроенергію зростають, а у голові безлад. Чому все ж таки такий високий тариф? Хоча заявлено, що вартість і досі нижча ринкової.']"
2144,ru,"['сбежал', 'эпичное видео', 'приверженцы киевского режима', 'беднягой']"
2145,ru,"['украинских боевиков', 'Вопреки собственным мифам про подготовку высочайшим стандартам НАТО', 'боевики оказались абсолютно необучаемыми и уничтожались на одной и той же позиции']"
2147,uk,"['Під час війни регулярно відбувається щось, що можна назвати новою реальністю. Найстрашнішою реальністю, яку демонстративно відмовлялася приймати влада й готуватися до неї, стало велике вторгнення 24 лютого. Тому та реальність стала неймовірно трагічною.', 'дуже прикрою несподіванкою', ""Її, як і самого вторгнення могло не статися, якби була відповідальна влада та наш ГУР працював на ще щось, окрім піару, щоденних інтерв'ю та відзначення повій і депутаток опзж.."", 'перемістив нас у ту реальність', 'Вистояли й знайшли відповідь. Сьогодні Шахеди лише додаткова складність війни, але вже не критична загрозі й ота нова реальність.\nКатастрофічна відсутніст', 'дуже прикрою реальністю', 'Ми тішилися саме такими високоточними плануючими бомбами від союзників і навіть не здогадувалися, що ворог активно готує менш точне, але значно потужніше смертельне озброєння', 'не стала основним фктором', ""посадили їхніх стерв'ятників"", 'А ГУР за самолюбуванням, фотосесіями й безглуздими заявами цю реальність проспав. Рашистськ', 'Це дуже велика загроза.', 'Це багато й подвоює загрози. В України нема захисту від таких бомб. Навіть найсучасніші спецзасоби, які є в армії США, ефективні на незначних локальних ділянках. Наприклад, захистити урядові установи чи авіаносець. А русня скидає такі бомби вздовж усієї лінії фронту та на прикордонні райони на півночі. Отже, перехопити самі бомби навіть теоретично неможливо', 'Одного й другого нам надавати не бажають. І фатально те, що серед причин не лише якісь військові упередження, але й невиконані політичні вимоги. Укрсучвлада категорично не хоче відновлювати в країні демократію, очищатися від ворожої агентури, корупції, за жодних обставин не згодна перестати красти й відверто бикувати. Це впливає на постачання ефективних озброєнь, рашисти користуються таким станом і нарощують удари, на які в нас нема відповіді. Гине більше наших військових та мирних мешканців..', 'Ще одна реальність, яку можна було передбачити й шукати виходи', 'але поки ми лише змушені до неї звикати', 'Для декого це дуже комфортна ситуація, оскільки більшість ""какаой разніци"" живе поза 40-70-кілометровою зоною й точно не планує перебувати в окопах..']"
